idsucursal,nombre,direccion,telefono,horario_de_apertura,horario_de_cierre
1,Eastern False Dragonhead,41759 Carpenter Avenue,910-506-8150,10:03,21:17
2,Tornillo,513 Marquette Way,172-366-2006,10:22,21:20
3,Railroad Valley Globemallow,417 American Court,288-390-7133,8:02,20:43
4,Heldreich's Clover,53470 Barby Drive,120-398-4482,8:11,20:27
5,Thiers' Cup Lichen,96323 Union Plaza,629-713-2069,9:56,21:26
6,Hawai'i Beaksedge,039 Linden Park,877-834-7996,8:54,21:35
7,Willow,450 Esch Terrace,476-813-4739,10:18,21:34
8,Kodiak Keyflower,55 Daystar Point,509-661-9229,8:49,20:53
9,Haussknecht's Clover,576 Hoepker Court,618-145-4529,8:39,20:53
10,Poodle-dog Bush,1480 High Crossing Court,262-994-8091,8:38,20:28
11,Fir Clubmoss,93276 Meadow Vale Street,199-404-7117,10:11,20:36
12,Lyall's Beardtongue,843 Tomscot Junction,425-689-1550,8:44,21:57
13,Egyptian Grass,8 Hooker Junction,867-214-7444,9:16,20:52
14,Columbian Watermeal,0 West Point,237-481-8672,10:19,21:02
15,Mossgrass,27840 Clarendon Park,965-138-3976,9:25,20:32
16,Beard Lichen,47 Bluestem Point,544-507-5059,8:56,21:27
17,Codlins And Cream,81531 Spohn Alley,466-745-4868,10:24,20:43
18,Finger Rot,4 Judy Alley,350-875-5298,9:49,21:08
19,Sandyfield Dewberry,2 Briar Crest Circle,284-475-6831,9:10,21:05
20,Bristly Locust,05013 Pawling Lane,466-820-6455,8:14,20:18
21,Lapland Reedgrass,51 Prentice Plaza,220-316-5310,9:59,20:35
22,Woolgrass,018 Lindbergh Place,417-178-3206,9:34,21:55
23,Cumin,7 Victoria Parkway,256-757-5896,9:21,20:04
24,Jalap,002 Prairie Rose Court,550-875-2196,8:36,21:10
25,Idaho Beardtongue,5 Novick Avenue,995-818-1895,10:18,20:24
26,Bejuco Prieto,779 Kings Trail,322-773-2156,9:57,21:05
27,Floatingheart,62 Melby Way,675-886-9954,8:38,21:22
28,Wedgeleaf Draba,50 Charing Cross Alley,815-143-7740,10:24,20:32
29,Garden Cosmos,2688 Basil Parkway,596-779-2753,8:19,21:00
30,Halfmoon Milkvetch,5 Kedzie Crossing,646-537-7843,8:48,20:35
31,Fraziers Well Buckwheat,0688 Manufacturers Alley,454-904-8198,8:21,20:32
32,Lecidea Lichen,019 Ilene Avenue,517-684-1898,8:32,21:30
33,Wai'oli Valley Pritchardia,47933 Loftsgordon Place,759-158-6637,10:07,21:37
34,Thrift Seapink,70 Sheridan Pass,249-435-1848,9:11,21:49
35,West Indian Walnut,6 Lyons Lane,430-720-2805,9:28,20:44
36,Fremont's Monkeyflower,213 Gale Plaza,679-552-2692,9:15,21:49
37,Creeping Alkaligrass,792 Commercial Lane,787-989-1622,10:14,21:36
38,Vancouver Island Beggarticks,91127 Lerdahl Alley,561-838-2294,10:05,21:58
39,Rockfringe,0 Karstens Drive,143-720-6110,9:15,20:02
40,Parmotrema Lichen,87291 Holmberg Street,892-980-4256,8:28,21:28
41,Red Ginger,82393 Grayhawk Point,297-635-3709,8:44,21:59
42,Big-horn Bog Orchid,022 Longview Point,658-241-3175,8:56,21:28
43,Asian Bushbeech,826 Bowman Road,938-449-6421,9:31,20:06
44,Featherleaf Kittentails,3 Westerfield Place,429-489-2660,10:00,20:00
45,Sixangle Foldwing,823 Boyd Plaza,309-313-8005,8:51,21:11
46,Hooker's Cinquefoil,35 Manufacturers Circle,660-930-4138,9:50,21:35
47,Hupeh Cotoneaster,28419 Village Green Point,368-774-6066,8:16,20:40
48,Alkali Desertparsley,6219 Kropf Plaza,110-223-7370,10:19,20:03
49,Inyo Rockcress,27 Ryan Center,494-650-1727,9:49,20:36
50,Hoosier Pass Ipomopsis,07443 Duke Point,945-110-3612,10:05,20:43
